[2021-06-15 08:45:12] INFO: New Animal Registered - Animal_type: Dog, Breed: Beagle, Name: Max, Animal_age: 3 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Sarah Connor, Animal_condition: Adopted
[2020-10-20 14:30:05] INFO: New Animal Registered - Animal_type: Cat, Breed: Persian, Name: Bella, Animal_age: 5 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: John Smith, Animal_condition: Available
[2022-01-05 09:22:47] INFO: New Animal Registered - Animal_type: Bird, Breed: Parrot, Name: Coco, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Alice Johnson, Animal_condition: Adopted
[2019-09-12 16:15:32] WARNING: Health Check Required - Animal_type: Dog, Breed: Labrador, Name: Buddy, Animal_age: 4 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Mike Brown, Animal_condition: In Treatment
[2018-07-08 10:05:21] ALERT: Animal Missing - Animal_type: Cat, Breed: Siamese, Name: Daisy, Animal_age: 6 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Emily Clark, Animal_condition: Lost
[2023-03-22 13:45:00] INFO: New Animal Registered - Animal_type: Rabbit, Breed: Lop, Name: Thumper, Animal_age: 1 year, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: David Wilson, Animal_condition: Available
[2021-05-18 11:30:30] INFO: New Animal Registered - Animal_type: Dog, Breed: German Shepherd, Name: Luna, Animal_age: 2 years, Size_of_animal: Large, Sex_of_animal: Female, Human_Owner: Laura Martin, Animal_condition: Adopted
[2022-08-30 15:50:10] INFO: New Animal Registered - Animal_type: Bird, Breed: Canary, Name: Sunny, Animal_age: 3 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: Peter Taylor, Animal_condition: Available
[2020-12-14 17:20:43] WARNING: Health Check Required - Animal_type: Cat, Breed: Maine Coon, Name: Oliver, Animal_age: 7 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Sophie Davis, Animal_condition: In Treatment
[2019-11-21 18:55:27] INFO: New Animal Registered - Animal_type: Dog, Breed: Bulldog, Name: Zoe, Animal_age: 5 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Ryan Lopez, Animal_condition: Adopted
[2021-07-22 10:30:45] INFO: New Animal Registered - Animal_type: Dog, Breed: Poodle, Name: Charlie, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Linda Williams, Animal_condition: Adopted
[2021-08-05 12:47:18] INFO: New Animal Registered - Animal_type: Cat, Breed: Ragdoll, Name: Lily, Animal_age: 4 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Jack Turner, Animal_condition: Available
[2021-09-15 08:22:30] INFO: New Animal Registered - Animal_type: Bird, Breed: Finch, Name: Peep, Animal_age: 1 year, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Diane Carter, Animal_condition: Adopted
[2021-10-03 14:15:49] ALERT: Animal Missing - Animal_type: Dog, Breed: Golden Retriever, Name: Bailey, Animal_age: 3 years, Size_of_animal: Large, Sex_of_animal: Female, Human_Owner: Steve Johnson, Animal_condition: Lost
[2021-11-10 11:30:05] WARNING: Health Check Required - Animal_type: Cat, Breed: Bengal, Name: Simba, Animal_age: 5 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Rachel King, Animal_condition: In Treatment
[2021-12-21 09:55:12] INFO: New Animal Registered - Animal_type: Rabbit, Breed: Dwarf, Name: Fluffy, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: Kevin Miller, Animal_condition: Available
[2022-01-18 17:45:30] INFO: New Animal Registered - Animal_type: Dog, Breed: Boxer, Name: Rocky, Animal_age: 4 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Emma Lewis, Animal_condition: Adopted
[2022-02-07 13:05:22] INFO: New Animal Registered - Animal_type: Bird, Breed: Cockatiel, Name: Whistler, Animal_age: 3 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: George White, Animal_condition: Available
[2022-03-15 16:20:47] WARNING: Health Check Required - Animal_type: Cat, Breed: British Shorthair, Name: Chester, Animal_age: 6 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Olivia Harris, Animal_condition: In Treatment
[2022-04-26 18:45:33] INFO: New Animal Registered - Animal_type: Dog, Breed: Chihuahua, Name: Bella, Animal_age: 1 year, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: Noah Anderson, Animal_condition: Adopted
[2022-05-10 07:30:10] INFO: New Animal Registered - Animal_type: Cat, Breed: Sphynx, Name: Gizmo, Animal_age: 3 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Mia Martinez, Animal_condition: Available
[2022-06-01 15:22:56] INFO: New Animal Registered - Animal_type: Dog, Breed: Siberian Husky, Name: Shadow, Animal_age: 2 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Sophia Hernandez, Animal_condition: Adopted
[2022-06-20 10:55:49] ALERT: Animal Missing - Animal_type: Bird, Breed: Macaw, Name: Rio, Animal_age: 4 years, Size_of_animal: Large, Sex_of_animal: Female, Human_Owner: Aiden Clark, Animal_condition: Lost
[2022-07-04 12:10:07] WARNING: Health Check Required - Animal_type: Rabbit, Breed: Angora, Name: Snowball, Animal_age: 1 year, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Isabella Lewis, Animal_condition: In Treatment
